centro_titular|centro_nombre|distancia|centro_educativo_centrico
AYUNTAMIENTO|LOS PARAISOS|27088.510397758837|0
AYUNTAMIENTO|LOS PICAPIEDRA|27202.500120383334|0
AYUNTAMIENTO|MUNICIPAL DE ARGANDA DEL REY|27226.967342390068|0
AYUNTAMIENTO|COLMENAR VIEJO (ESC. MUN. MUSICA)|27240.960367692627|0
AYUNTAMIENTO|BAOBAB|27294.2113707918|0
AYUNTAMIENTO|AILANTOS|27298.53358389077|0
AYUNTAMIENTO|FANTASIA|27386.623221609163|0
AYUNTAMIENTO|TORREJON DE LA CALZADA (ESC. MUN. MUSICA)|27488.555138916232|0
AYUNTAMIENTO|GRIÑON|27522.278083092595|0
AYUNTAMIENTO|TUCAN|27718.17506577914|0
AYUNTAMIENTO|LOS OLIVOS|27783.116212152836|0
AYUNTAMIENTO|GRIÑON|27859.332392145378|0
AYUNTAMIENTO|VILLALBILLA|27945.618303108487|0
AYUNTAMIENTO|GARABATOS|27959.363342550132|0
AYUNTAMIENTO|TRINIDAD RUIZ|28214.265255928643|0
AYUNTAMIENTO|GALATEA|28370.89039711153|0
AYUNTAMIENTO|ALALPARDO|28575.91886996651|0
AYUNTAMIENTO|LOS ALMENDROS|28670.17851450934|0
AYUNTAMIENTO|EL PRINCIPITO|28685.470727507436|0
AYUNTAMIENTO|ESCUELA MUNICIPAL DE EDUCACION DE ADULTOS|28688.465284038593|0
AYUNTAMIENTO|LA FLAUTA MAGICA|28785.70296016723|0
AYUNTAMIENTO|ARCO IRIS|28790.92320557725|0
AYUNTAMIENTO|TORRES DE LA ALAMEDA (ESC. MUN. MUSICA)|28891.247606126293|0
AYUNTAMIENTO|EL BOSQUE ENCANTADO|28898.674717418566|0
AYUNTAMIENTO|CAMPO REAL Nº 1|28977.152499824308|0
AYUNTAMIENTO|CAMPO REAL|29051.565268357364|0
AYUNTAMIENTO|LOS MOLINOS|29237.922401693104|0
AYUNTAMIENTO|SEVILLA LA NUEVA|29576.43454395015|0
AYUNTAMIENTO|LA PAJARA PINTA|29593.51250525645|0
AYUNTAMIENTO|COLORIN COLORADO|29900.856570850385|0
AYUNTAMIENTO|EL TREBOL|29913.24835674681|0
AYUNTAMIENTO|LAS CASITAS|29956.32413866112|0
AYUNTAMIENTO|MANANTIAL|30412.12636693418|0
AYUNTAMIENTO|QUIJORNA|30449.59486485198|0
AYUNTAMIENTO|QUIJORNA|30462.468967066812|0
AYUNTAMIENTO|VALDEOLMOS|30653.480003681147|0
AYUNTAMIENTO|GALAPAGAR|30995.802601160052|0
AYUNTAMIENTO|CASARRUBUELOS Nº 2|31127.185621004493|0
AYUNTAMIENTO|NAVALCARNERO|31215.125675357798|0
AYUNTAMIENTO|CASARRUBUELOS|31226.760487410913|0
AYUNTAMIENTO|CASARRUBUELOS Nº 1|31354.234641309755|0
AYUNTAMIENTO|CAMPANILLA|31363.981498537083|0
AYUNTAMIENTO|CIEMPOZUELOS|31389.96879957792|0
AYUNTAMIENTO|VALDEMORILLO|31414.35385943426|0
AYUNTAMIENTO|MORATA DE TAJUÑA|31449.19572701523|0
AYUNTAMIENTO|MORATA DE TAJUÑA  Nº 2|31530.921137212757|0
AYUNTAMIENTO|MORATA DE TAJUÑA  Nº 1|31797.080953474757|0
AYUNTAMIENTO|BARCO DE PAPEL|31836.785908890364|0
AYUNTAMIENTO|VALDEMORILLO|32039.34965603019|0
AYUNTAMIENTO|VALDETORRES DE JARAMA|32529.438229459756|0
AYUNTAMIENTO|FRESNO DE TOROTE|32878.43176552782|0
AYUNTAMIENTO|POZUELO DEL REY|32897.65175904506|0
AYUNTAMIENTO|EL HADA TRAGA MANZANAS|33124.251466577996|0
AYUNTAMIENTO|CASCABEL|33552.734644437616|0
AYUNTAMIENTO|PASEMISI|33600.080933018304|0
AYUNTAMIENTO|MARIONETAS|33767.74277760138|0
AYUNTAMIENTO|EL ALAMO|33814.56840051408|0
AYUNTAMIENTO|COLLADO VILLALBA|33887.02280017268|0
AYUNTAMIENTO|MECO|33913.38989605722|0
AYUNTAMIENTO|TITULCIA|34871.48880932019|0
AYUNTAMIENTO|SANTA CECILIA (PROGRAMA DE CASA DE NIÑOS)|35221.170795767|0
AYUNTAMIENTO|MANZANARES EL REAL|35329.38805981551|0
AYUNTAMIENTO|MORALZARZAL|35561.805169955|0
AYUNTAMIENTO|VILLANUEVA DE PERALES|35636.02532694412|0
AYUNTAMIENTO|EL POCITO|35848.59497645015|0
AYUNTAMIENTO|SOTO DEL REAL|35992.544068470044|0
AYUNTAMIENTO|GLORIA FUERTES|36167.79377752121|0
AYUNTAMIENTO|NAVALAGAMELLA|36318.69435712752|0
AYUNTAMIENTO|LOS DUENDES|36582.39136941055|0
AYUNTAMIENTO|EL BOALO|36590.43009120596|0
AYUNTAMIENTO|PERALES DE TAJUÑA|36726.31849486439|0
AYUNTAMIENTO|EL NOGAL|36839.566581996056|0
AYUNTAMIENTO|ALPEDRETE|37013.235390388436|0
AYUNTAMIENTO|PERALES DE TAJUÑA|37058.898572014885|0
AYUNTAMIENTO|VALDILECHA|37281.13051260278|0
